user_id,segment,persona_name,primary_perk
454264,0,Explorer Planners,Planning tools + itinerary support
454430,2,Staycation Bundlers,Hotel/room perks
454616,4,Cautious Evaluators,Risk-reduction perks
454661,4,Cautious Evaluators,Risk-reduction perks
454920,1,Deal-Driven Flyers,Flight discounting
454934,3,Frequent Business Travelers,Loyalty accelerators
454955,4,Cautious Evaluators,Risk-reduction perks
456226,1,Deal-Driven Flyers,Flight discounting
456318,4,Cautious Evaluators,Risk-reduction perks
456663,4,Cautious Evaluators,Risk-reduction perks
457468,2,Staycation Bundlers,Hotel/room perks
457599,1,Deal-Driven Flyers,Flight discounting
458479,1,Deal-Driven Flyers,Flight discounting
458688,4,Cautious Evaluators,Risk-reduction perks
458725,0,Explorer Planners,Planning tools + itinerary support
458762,4,Cautious Evaluators,Risk-reduction perks
458814,2,Staycation Bundlers,Hotel/room perks
458855,2,Staycation Bundlers,Hotel/room perks
458919,2,Staycation Bundlers,Hotel/room perks
459229,4,Cautious Evaluators,Risk-reduction perks
459486,2,Staycation Bundlers,Hotel/room perks
459645,4,Cautious Evaluators,Risk-reduction perks
460072,2,Staycation Bundlers,Hotel/room perks
460181,4,Cautious Evaluators,Risk-reduction perks
460553,4,Cautious Evaluators,Risk-reduction perks
460625,3,Frequent Business Travelers,Loyalty accelerators
461559,1,Deal-Driven Flyers,Flight discounting
461744,4,Cautious Evaluators,Risk-reduction perks
461791,2,Staycation Bundlers,Hotel/room perks
462127,2,Staycation Bundlers,Hotel/room perks
462456,1,Deal-Driven Flyers,Flight discounting
462894,0,Explorer Planners,Planning tools + itinerary support
463652,2,Staycation Bundlers,Hotel/room perks
463698,1,Deal-Driven Flyers,Flight discounting
463783,4,Cautious Evaluators,Risk-reduction perks
463867,2,Staycation Bundlers,Hotel/room perks
463910,1,Deal-Driven Flyers,Flight discounting
464080,4,Cautious Evaluators,Risk-reduction perks
464239,2,Staycation Bundlers,Hotel/room perks
464614,1,Deal-Driven Flyers,Flight discounting
464673,4,Cautious Evaluators,Risk-reduction perks
464782,4,Cautious Evaluators,Risk-reduction perks
464855,4,Cautious Evaluators,Risk-reduction perks
465138,1,Deal-Driven Flyers,Flight discounting
465343,2,Staycation Bundlers,Hotel/room perks
465531,2,Staycation Bundlers,Hotel/room perks
465731,1,Deal-Driven Flyers,Flight discounting
466205,4,Cautious Evaluators,Risk-reduction perks
466342,4,Cautious Evaluators,Risk-reduction perks
466723,3,Frequent Business Travelers,Loyalty accelerators
467007,4,Cautious Evaluators,Risk-reduction perks
467092,4,Cautious Evaluators,Risk-reduction perks
467339,4,Cautious Evaluators,Risk-reduction perks
467809,2,Staycation Bundlers,Hotel/room perks
467892,3,Frequent Business Travelers,Loyalty accelerators
468106,1,Deal-Driven Flyers,Flight discounting
468370,1,Deal-Driven Flyers,Flight discounting
468409,1,Deal-Driven Flyers,Flight discounting
468666,2,Staycation Bundlers,Hotel/room perks
468801,2,Staycation Bundlers,Hotel/room perks
468808,2,Staycation Bundlers,Hotel/room perks
468832,3,Frequent Business Travelers,Loyalty accelerators
469237,2,Staycation Bundlers,Hotel/room perks
469418,0,Explorer Planners,Planning tools + itinerary support
469464,2,Staycation Bundlers,Hotel/room perks
469699,1,Deal-Driven Flyers,Flight discounting
469767,1,Deal-Driven Flyers,Flight discounting
469824,2,Staycation Bundlers,Hotel/room perks
471077,1,Deal-Driven Flyers,Flight discounting
471161,2,Staycation Bundlers,Hotel/room perks
471186,2,Staycation Bundlers,Hotel/room perks
471500,4,Cautious Evaluators,Risk-reduction perks
471565,4,Cautious Evaluators,Risk-reduction perks
471649,0,Explorer Planners,Planning tools + itinerary support
471687,1,Deal-Driven Flyers,Flight discounting
471717,2,Staycation Bundlers,Hotel/room perks
471935,1,Deal-Driven Flyers,Flight discounting
471973,0,Explorer Planners,Planning tools + itinerary support
472394,4,Cautious Evaluators,Risk-reduction perks
472446,4,Cautious Evaluators,Risk-reduction perks
472614,4,Cautious Evaluators,Risk-reduction perks
472713,2,Staycation Bundlers,Hotel/room perks
472785,4,Cautious Evaluators,Risk-reduction perks
472966,4,Cautious Evaluators,Risk-reduction perks
473332,2,Staycation Bundlers,Hotel/room perks
473343,1,Deal-Driven Flyers,Flight discounting
473402,3,Frequent Business Travelers,Loyalty accelerators
473467,1,Deal-Driven Flyers,Flight discounting
473568,2,Staycation Bundlers,Hotel/room perks
473712,1,Deal-Driven Flyers,Flight discounting
473847,2,Staycation Bundlers,Hotel/room perks
474007,4,Cautious Evaluators,Risk-reduction perks
474120,2,Staycation Bundlers,Hotel/room perks
474239,0,Explorer Planners,Planning tools + itinerary support
474261,2,Staycation Bundlers,Hotel/room perks
474278,0,Explorer Planners,Planning tools + itinerary support
474384,1,Deal-Driven Flyers,Flight discounting
474464,2,Staycation Bundlers,Hotel/room perks
474546,2,Staycation Bundlers,Hotel/room perks
474951,1,Deal-Driven Flyers,Flight discounting
474980,4,Cautious Evaluators,Risk-reduction perks
475060,2,Staycation Bundlers,Hotel/room perks
475130,1,Deal-Driven Flyers,Flight discounting
475467,2,Staycation Bundlers,Hotel/room perks
475531,1,Deal-Driven Flyers,Flight discounting
476081,1,Deal-Driven Flyers,Flight discounting
476104,1,Deal-Driven Flyers,Flight discounting
476124,2,Staycation Bundlers,Hotel/room perks
476173,4,Cautious Evaluators,Risk-reduction perks
476270,4,Cautious Evaluators,Risk-reduction perks
476393,4,Cautious Evaluators,Risk-reduction perks
476436,1,Deal-Driven Flyers,Flight discounting
476535,1,Deal-Driven Flyers,Flight discounting
476665,1,Deal-Driven Flyers,Flight discounting
476693,1,Deal-Driven Flyers,Flight discounting
476714,1,Deal-Driven Flyers,Flight discounting
476742,4,Cautious Evaluators,Risk-reduction perks
476916,0,Explorer Planners,Planning tools + itinerary support
476956,4,Cautious Evaluators,Risk-reduction perks
477285,2,Staycation Bundlers,Hotel/room perks
477597,4,Cautious Evaluators,Risk-reduction perks
477730,1,Deal-Driven Flyers,Flight discounting
477805,4,Cautious Evaluators,Risk-reduction perks
478003,2,Staycation Bundlers,Hotel/room perks
478146,2,Staycation Bundlers,Hotel/room perks
478188,4,Cautious Evaluators,Risk-reduction perks
478228,4,Cautious Evaluators,Risk-reduction perks
478291,4,Cautious Evaluators,Risk-reduction perks
478533,4,Cautious Evaluators,Risk-reduction perks
478585,1,Deal-Driven Flyers,Flight discounting
478760,4,Cautious Evaluators,Risk-reduction perks
478801,2,Staycation Bundlers,Hotel/room perks
479071,1,Deal-Driven Flyers,Flight discounting
479078,4,Cautious Evaluators,Risk-reduction perks
479101,2,Staycation Bundlers,Hotel/room perks
479254,2,Staycation Bundlers,Hotel/room perks
479524,0,Explorer Planners,Planning tools + itinerary support
479785,0,Explorer Planners,Planning tools + itinerary support
480186,0,Explorer Planners,Planning tools + itinerary support
480313,2,Staycation Bundlers,Hotel/room perks
480690,1,Deal-Driven Flyers,Flight discounting
480796,4,Cautious Evaluators,Risk-reduction perks
480877,2,Staycation Bundlers,Hotel/room perks
480895,4,Cautious Evaluators,Risk-reduction perks
481050,4,Cautious Evaluators,Risk-reduction perks
481245,4,Cautious Evaluators,Risk-reduction perks
481292,1,Deal-Driven Flyers,Flight discounting
481358,0,Explorer Planners,Planning tools + itinerary support
481554,1,Deal-Driven Flyers,Flight discounting
481622,1,Deal-Driven Flyers,Flight discounting
481772,4,Cautious Evaluators,Risk-reduction perks
481781,0,Explorer Planners,Planning tools + itinerary support
482264,2,Staycation Bundlers,Hotel/room perks
482335,0,Explorer Planners,Planning tools + itinerary support
482424,2,Staycation Bundlers,Hotel/room perks
482548,1,Deal-Driven Flyers,Flight discounting
482621,4,Cautious Evaluators,Risk-reduction perks
482630,2,Staycation Bundlers,Hotel/room perks
482744,2,Staycation Bundlers,Hotel/room perks
482811,2,Staycation Bundlers,Hotel/room perks
483237,1,Deal-Driven Flyers,Flight discounting
483345,1,Deal-Driven Flyers,Flight discounting
483480,1,Deal-Driven Flyers,Flight discounting
483483,2,Staycation Bundlers,Hotel/room perks
483525,2,Staycation Bundlers,Hotel/room perks
483603,2,Staycation Bundlers,Hotel/room perks
483928,1,Deal-Driven Flyers,Flight discounting
483982,4,Cautious Evaluators,Risk-reduction perks
484249,4,Cautious Evaluators,Risk-reduction perks
484342,0,Explorer Planners,Planning tools + itinerary support
485149,2,Staycation Bundlers,Hotel/room perks
485260,2,Staycation Bundlers,Hotel/room perks
485393,4,Cautious Evaluators,Risk-reduction perks
485505,4,Cautious Evaluators,Risk-reduction perks
485518,0,Explorer Planners,Planning tools + itinerary support
485536,0,Explorer Planners,Planning tools + itinerary support
485544,1,Deal-Driven Flyers,Flight discounting
485591,2,Staycation Bundlers,Hotel/room perks
485658,1,Deal-Driven Flyers,Flight discounting
485780,1,Deal-Driven Flyers,Flight discounting
485785,2,Staycation Bundlers,Hotel/room perks
485891,3,Frequent Business Travelers,Loyalty accelerators
485894,4,Cautious Evaluators,Risk-reduction perks
486113,2,Staycation Bundlers,Hotel/room perks
486191,4,Cautious Evaluators,Risk-reduction perks
486261,4,Cautious Evaluators,Risk-reduction perks
486268,0,Explorer Planners,Planning tools + itinerary support
486270,4,Cautious Evaluators,Risk-reduction perks
486366,4,Cautious Evaluators,Risk-reduction perks
486447,3,Frequent Business Travelers,Loyalty accelerators
486454,1,Deal-Driven Flyers,Flight discounting
486605,2,Staycation Bundlers,Hotel/room perks
486671,1,Deal-Driven Flyers,Flight discounting
486751,1,Deal-Driven Flyers,Flight discounting
486823,2,Staycation Bundlers,Hotel/room perks
487002,4,Cautious Evaluators,Risk-reduction perks
487036,2,Staycation Bundlers,Hotel/room perks
487040,2,Staycation Bundlers,Hotel/room perks
487101,1,Deal-Driven Flyers,Flight discounting
487276,1,Deal-Driven Flyers,Flight discounting
487352,2,Staycation Bundlers,Hotel/room perks
487453,1,Deal-Driven Flyers,Flight discounting
487637,2,Staycation Bundlers,Hotel/room perks
487680,3,Frequent Business Travelers,Loyalty accelerators
487715,2,Staycation Bundlers,Hotel/room perks
487858,4,Cautious Evaluators,Risk-reduction perks
487954,2,Staycation Bundlers,Hotel/room perks
488009,4,Cautious Evaluators,Risk-reduction perks
488314,1,Deal-Driven Flyers,Flight discounting
488410,1,Deal-Driven Flyers,Flight discounting
488430,0,Explorer Planners,Planning tools + itinerary support
488480,3,Frequent Business Travelers,Loyalty accelerators
488511,4,Cautious Evaluators,Risk-reduction perks
488529,2,Staycation Bundlers,Hotel/room perks
488539,0,Explorer Planners,Planning tools + itinerary support
488672,1,Deal-Driven Flyers,Flight discounting
488827,1,Deal-Driven Flyers,Flight discounting
488870,4,Cautious Evaluators,Risk-reduction perks
488918,1,Deal-Driven Flyers,Flight discounting
488974,1,Deal-Driven Flyers,Flight discounting
489096,4,Cautious Evaluators,Risk-reduction perks
489131,0,Explorer Planners,Planning tools + itinerary support
489575,1,Deal-Driven Flyers,Flight discounting
489635,1,Deal-Driven Flyers,Flight discounting
489730,4,Cautious Evaluators,Risk-reduction perks
489785,2,Staycation Bundlers,Hotel/room perks
489786,0,Explorer Planners,Planning tools + itinerary support
489802,4,Cautious Evaluators,Risk-reduction perks
489844,2,Staycation Bundlers,Hotel/room perks
489852,2,Staycation Bundlers,Hotel/room perks
489949,4,Cautious Evaluators,Risk-reduction perks
489953,1,Deal-Driven Flyers,Flight discounting
489992,2,Staycation Bundlers,Hotel/room perks
490040,2,Staycation Bundlers,Hotel/room perks
490107,1,Deal-Driven Flyers,Flight discounting
490201,2,Staycation Bundlers,Hotel/room perks
490358,2,Staycation Bundlers,Hotel/room perks
490517,2,Staycation Bundlers,Hotel/room perks
490576,2,Staycation Bundlers,Hotel/room perks
490608,2,Staycation Bundlers,Hotel/room perks
490629,1,Deal-Driven Flyers,Flight discounting
490671,1,Deal-Driven Flyers,Flight discounting
491003,2,Staycation Bundlers,Hotel/room perks
491124,1,Deal-Driven Flyers,Flight discounting
491141,1,Deal-Driven Flyers,Flight discounting
491175,1,Deal-Driven Flyers,Flight discounting
491182,1,Deal-Driven Flyers,Flight discounting
491241,4,Cautious Evaluators,Risk-reduction perks
491266,1,Deal-Driven Flyers,Flight discounting
491559,1,Deal-Driven Flyers,Flight discounting
491597,2,Staycation Bundlers,Hotel/room perks
491617,2,Staycation Bundlers,Hotel/room perks
491706,2,Staycation Bundlers,Hotel/room perks
491772,2,Staycation Bundlers,Hotel/room perks
491925,1,Deal-Driven Flyers,Flight discounting
491930,1,Deal-Driven Flyers,Flight discounting
491995,0,Explorer Planners,Planning tools + itinerary support
492209,1,Deal-Driven Flyers,Flight discounting
492211,2,Staycation Bundlers,Hotel/room perks
492287,2,Staycation Bundlers,Hotel/room perks
492371,2,Staycation Bundlers,Hotel/room perks
492497,0,Explorer Planners,Planning tools + itinerary support
492614,0,Explorer Planners,Planning tools + itinerary support
492999,4,Cautious Evaluators,Risk-reduction perks
493177,1,Deal-Driven Flyers,Flight discounting
493409,1,Deal-Driven Flyers,Flight discounting
493476,4,Cautious Evaluators,Risk-reduction perks
493718,2,Staycation Bundlers,Hotel/room perks
494294,2,Staycation Bundlers,Hotel/room perks
494382,1,Deal-Driven Flyers,Flight discounting
494441,0,Explorer Planners,Planning tools + itinerary support
494463,2,Staycation Bundlers,Hotel/room perks
494484,2,Staycation Bundlers,Hotel/room perks
494590,2,Staycation Bundlers,Hotel/room perks
494630,4,Cautious Evaluators,Risk-reduction perks
494680,1,Deal-Driven Flyers,Flight discounting
494704,1,Deal-Driven Flyers,Flight discounting
494985,1,Deal-Driven Flyers,Flight discounting
495029,3,Frequent Business Travelers,Loyalty accelerators
495042,1,Deal-Driven Flyers,Flight discounting
495080,2,Staycation Bundlers,Hotel/room perks
495272,2,Staycation Bundlers,Hotel/room perks
495273,1,Deal-Driven Flyers,Flight discounting
495386,2,Staycation Bundlers,Hotel/room perks
495482,1,Deal-Driven Flyers,Flight discounting
495592,0,Explorer Planners,Planning tools + itinerary support
495603,1,Deal-Driven Flyers,Flight discounting
495727,1,Deal-Driven Flyers,Flight discounting
496016,1,Deal-Driven Flyers,Flight discounting
496273,2,Staycation Bundlers,Hotel/room perks
496286,1,Deal-Driven Flyers,Flight discounting
496332,1,Deal-Driven Flyers,Flight discounting
496382,2,Staycation Bundlers,Hotel/room perks
496408,1,Deal-Driven Flyers,Flight discounting
496566,2,Staycation Bundlers,Hotel/room perks
496899,3,Frequent Business Travelers,Loyalty accelerators
496972,4,Cautious Evaluators,Risk-reduction perks
497042,1,Deal-Driven Flyers,Flight discounting
497077,1,Deal-Driven Flyers,Flight discounting
497108,2,Staycation Bundlers,Hotel/room perks
497225,1,Deal-Driven Flyers,Flight discounting
497475,2,Staycation Bundlers,Hotel/room perks
497615,2,Staycation Bundlers,Hotel/room perks
497678,2,Staycation Bundlers,Hotel/room perks
497680,2,Staycation Bundlers,Hotel/room perks
497829,2,Staycation Bundlers,Hotel/room perks
497915,1,Deal-Driven Flyers,Flight discounting
498199,2,Staycation Bundlers,Hotel/room perks
498287,1,Deal-Driven Flyers,Flight discounting
498298,4,Cautious Evaluators,Risk-reduction perks
498357,1,Deal-Driven Flyers,Flight discounting
